"Date","Forecast_Carbon_Intensity","Forecast_Low_Carbon","Forecast_Zero_Carbon","Forecast_Renewable"
2025-01-01,114.233689391645,16714.7851258537,14215.0775073197,10062.3557623025
2025-02-01,119.590071628114,17358.949331827,15350.5065510273,10827.957775262
2025-03-01,75.359737214869,19740.5230060243,17018.5900221476,13278.0982932373
2025-04-01,95.867442422672,20080.1411431393,16673.591631915,12968.3505410025
2025-05-01,86.5554009243614,21382.1534269958,17885.1202927034,13676.9450807485
2025-06-01,90.6596885764603,20885.9309233083,17587.3798131637,14013.2445204822
2025-07-01,73.3802408851826,21335.7797734545,16665.7470468717,14796.069038858
2025-08-01,81.4257530735928,19538.9140571909,16368.0695796962,13172.6994894226
2025-09-01,66.450997651642,19574.0766212775,16846.938154481,12645.9902582319
2025-10-01,75.389980937272,17093.7779613326,14378.6617474822,10512.7393270587
2025-11-01,71.734120311828,17482.3107951928,15135.3481165905,10899.1060514276
2025-12-01,66.7412718371502,17714.4341556338,15907.3596900793,11229.2858125229
2026-01-01,83.8879950564588,17128.1770834221,14988.6812595751,10800.6754493162
2026-02-01,83.7736373453701,18191.8755399083,15812.716034006,11597.0312191981
2026-03-01,45.4577304332362,20493.6744605718,16872.4590198964,14047.1793009476
2026-04-01,65.5278769355855,20751.687817769,16528.9406164587,13737.4374746139
2026-05-01,50.1350223827847,22049.1014195345,18139.7650499011,14446.036657056
2026-06-01,60.8173231059714,21607.0370561915,17166.3303006891,14782.3397341482
2026-07-01,46.2860062221684,22056.8332956151,16970.1913990098,15565.1671022425
2026-08-01,45.8239303239359,20249.513339069,16673.1863344899,13941.7997854426
2026-09-01,26.6234860730291,20284.9310246332,17543.5168190809,13415.0923034285
2026-10-01,39.5284026102333,17812.901432037,15002.3012919885,11281.8427426622
2026-11-01,32.687753996572,18203.6411507291,15787.9659206459,11668.2105406875
2026-12-01,23.7467530134359,18435.4312894581,16286.7274177724,11998.3911429479
2027-01-01,41.9271962189262,17849.9858349861,15580.8882181281,11569.7814387589
2027-02-01,43.7963422007204,18915.5236900173,16191.8118074585,12366.1377249537
2027-03-01,7.04055915294123,21218.4039549174,17037.7200444502,14816.2862112127
2027-04-01,28.3676710861021,21476.9630808338,16820.2284408536,14506.5447017954
2027-05-01,10.2568349196743,22774.9529122818,17722.3752031102,15215.1441325282
2027-06-01,26.2070000546004,22333.5411915311,17303.073936359,15551.4474041458
2027-07-01,6.03142966483175,22783.8483798676,16968.9135720125,16334.2749246426
2027-08-01,7.9215184487669,20976.9054404992,16781.046874536,14710.9077272437
2027-09-01,-13.3859335720164,21012.6523397074,17217.5595708963,14184.2003387753
2027-10-01,2.04019219576876,18540.9249071936,15632.9490822907,12050.9508512981
2027-11-01,-7.3000516437249,18931.9181200568,16120.9987018167,12437.3187067425
2027-12-01,-13.5296527867004,19163.9152874336,16515.3353723475,12767.4993539882
2028-01-01,4.39094802206104,18578.6458610584,16007.6552834186,12338.8896850434
2028-02-01,6.29325923393893,19644.3361737087,16455.4388047108,13135.2459988505
2028-03-01,-32.7312998061417,21947.34579194,17051.9143251538,15585.3945067426
2028-04-01,-12.0635597149569,22206.0135809815,16877.9671506494,15275.653014274
2028-05-01,-27.1703387821814,23504.0955397675,17653.3676971541,15984.2524582854
2028-06-01,-15.8728708253121,23062.7623982047,17227.8497960528,16320.5557403062
2028-07-01,-33.2635474450356,23513.136311018,17056.6942257072,17103.3832689534
2028-08-01,-30.8804237241472,21706.249846636,16906.36017096,15480.0160779401
2028-09-01,-49.9687549602817,21742.0446399063,17307.890173111,14953.3086944745
2028-10-01,-36.9530723366178,19270.3578986229,16029.4126837905,12820.0592109168
2028-11-01,-44.071348314562,19661.3856519545,16424.0408670516,13206.427069432
2028-12-01,-51.048508032781,19893.4121102715,16703.4735483787,13536.6077190835
2029-01-01,-33.2034607378728,19308.1675325781,16325.2602458581,13107.9980520235
2029-02-01,-31.7666402024047,20373.878936468,16655.4786949386,13904.3543673074
2029-03-01,-69.7740793391163,22676.9064537959,17104.6575240814,16354.5028763564
2029-04-01,-48.9912138391298,22935.5894287286,16982.1258863852,16044.7613847942
2029-05-01,-65.2982531353841,24233.6842722618,17508.8135852098,16753.3608295157
2029-06-01,-52.3795006351071,23792.3620645867,17241.7382809476,17089.6641120928
2029-07-01,-70.1810864225034,24242.7452556055,17086.3549764568,17872.491641176
2029-08-01,-68.623446702173,22435.8666638719,16980.4860356496,16249.1244505041
2029-09-01,-88.5761361396205,22471.6681371982,17244.3420332625,15722.4170673061
2029-10-01,-74.6738045310674,19999.9870642575,16347.789266646,13589.167583958
2029-11-01,-82.5699786689439,20391.0196274441,16624.217733896,13975.5354426374
2029-12-01,-89.7055272166157,20623.0501670694,16834.0812791767,14305.7160924176
